contactsaddressid,vanid,city_x,state_x,zip5,latitude_x,longitude_x,zip,city_y,state_y,latitude_y,longitude_y,timezone,daylight_savings_time_flag,geopoint
2053040,102214435,Cumming,GA,30041,,,30041,Cumming,GA,34.201503,-84.09764,-5,1,"34.201503, -84.09764"
735354,100741867,Amory,MS,38821,,,38821,Amory,MS,33.988235,-88.46783,-6,1,"33.988235, -88.46783"
547565,100554078,Clearwater,FL,33761,,,33761,Clearwater,FL,28.032827,-82.72596,-5,1,"28.032827, -82.72596"
556894,100563407,Cambridge,MA,,,,,,,,,,,
1661186,101841394,Crestwood,IL,60418,,,,,,,,,,
1683597,101857430,Madison,WI,53705,,,53705,Madison,WI,43.073395,-89.45049,-6,1,"43.073395, -89.45049"
2184450,101863920,Madison,WI,53704,,,53704,Madison,WI,43.121416,-89.34968,-6,1,"43.121416, -89.34968"
2342990,101785628,Johnson City,TN,37614,,,37614,Johnson City,TN,36.302479,-82.36984,-5,1,"36.302479, -82.36984"
1641619,100670995,Tucson,AZ,85721,,,85721,Tucson,AZ,32.233761,-110.949996,-7,0,"32.233761, -110.949996"
1685258,101858790,Grosse Pointe,MI,48230,,,48230,Grosse Pointe,MI,42.386087,-82.92426,-5,1,"42.386087, -82.92426"
2212122,102339583,Palmetto Bay,FL,33157,,,33157,Miami,FL,25.606583,-80.34859,-5,1,"25.606583, -80.34859"
1873931,102040551,Ozone Park,NY,11416,,,11416,Ozone Park,NY,40.683301,-73.8503,-5,1,"40.683301, -73.8503"
2184033,102329503,Cumberland,MD,21502,,,21502,Cumberland,MD,39.646587,-78.77398,-5,1,"39.646587, -78.77398"
1657864,101839614,Soledad,CA,93960,,,93960,Soledad,CA,36.41176,-121.32617,-8,1,"36.41176, -121.32617"
2090377,102250267,West Bend,WI,53095,,,53095,West Bend,WI,43.40328,-88.18026,-6,1,"43.40328, -88.18026"
2132985,102289926,Brighton,MI,48116,,,48116,Brighton,MI,42.509476,-83.77718,-5,1,"42.509476, -83.77718"
842206,100848719,Baldwin Park,CA,91706,,,91706,Baldwin Park,CA,34.087108,-117.96966,-8,1,"34.087108, -117.96966"
1913596,102078591,Cranford,NJ,7016,,,7016,Cranford,NJ,40.656302,-74.30371,-5,1,"40.656302, -74.30371"
2184428,102329790,Madison,WI,53704,,,53704,Madison,WI,43.121416,-89.34968,-6,1,"43.121416, -89.34968"
762734,100769247,El Paso,TX,79922,,,79922,El Paso,NM,31.789109,-106.54291,-7,1,"31.789109, -106.54291"
564917,100571430,Phoenix,AZ,85027,,,85027,Phoenix,AZ,33.698731,-112.11429,-7,0,"33.698731, -112.11429"
566450,100572963,Glen Cove,NY,11542,,,11542,Glen Cove,NY,40.864757,-73.62609,-5,1,"40.864757, -73.62609"
809433,100815946,Oley,PA,19547,,,19547,Oley,PA,40.385143,-75.76372,-5,1,"40.385143, -75.76372"
934145,100940658,Austin,TX,78717,,,78717,Austin,TX,30.494623,-97.75687,-6,1,"30.494623, -97.75687"
1870042,102037151,Downers Grove,IL,60515,,,60515,Downers Grove,IL,41.80348,-88.01827,-6,1,"41.80348, -88.01827"
1870305,102037373,Glendale,CA,91201,,,91201,Glendale,CA,34.17013,-118.29158,-8,1,"34.17013, -118.29158"
2197789,102349261,Exton,PA,19341,,,19341,Exton,PA,40.040505,-75.63425,-5,1,"40.040505, -75.63425"
2293967,100690381,Miami,FL,33194,,,33194,Miami,FL,25.745549,-80.4651,-5,1,"25.745549, -80.4651"
750222,100756735,Justin,TX,76247,,,76247,Justin,TX,33.08704,-97.30384,-6,1,"33.08704, -97.30384"
902611,100909124,Norton,MA,,,,,,,,,,,
1310030,100868952,Pennsylvania,PA,,,,,,,,,,,
1649312,100753683,Cantonment,FL,32533,,,32533,Cantonment,FL,30.600993,-87.31979,-6,1,"30.600993, -87.31979"
1862692,101864133,Troy,MI,48098,,,48098,Troy,MI,42.599133,-83.15235,-5,1,"42.599133, -83.15235"
2305309,101789681,Land O Lakes,FL,34638,,,,,,,,,,
2397140,101833865,Austin,TX,78753,,,78753,Austin,TX,30.374654,-97.67621,-6,1,"30.374654, -97.67621"
717706,100724219,Philadelphia,PA,19133,,,19133,Philadelphia,PA,39.992862,-75.14054,-5,1,"39.992862, -75.14054"
831406,100837919,San Antonio,TX,78259,,,78259,San Antonio,TX,29.627332,-98.42781,-6,1,"29.627332, -98.42781"
1657349,101825732,Washington,DC,20052,,,20052,Washington,DC,38.90014,-77.047899,-5,1,"38.90014, -77.047899"
1867684,100814305,Pinehurst,NC,28374,,,28374,Pinehurst,NC,35.195417,-79.46496,-5,1,"35.195417, -79.46496"
1994419,102157043,Saint Augustine,FL,32092,,,32092,Saint Augustine,FL,29.955409,-81.51284,-5,1,"29.955409, -81.51284"
2012491,102174730,Wichita,KS,67217,,,67217,Wichita,KS,37.62421,-97.36312,-6,1,"37.62421, -97.36312"
628653,100635166,Lutz,FL,33549,,,33549,Lutz,FL,28.142694,-82.46629,-5,1,"28.142694, -82.46629"
848894,100855407,Eugene,OR,97403,,,97403,Eugene,OR,44.03858,-123.05562,-8,1,"44.03858, -123.05562"
1541505,101575558,Menasha,WI,54952,,,54952,Menasha,WI,44.212448,-88.40959,-6,1,"44.212448, -88.40959"
1656811,101838992,Washington,DC,20012,,,20012,Washington,DC,38.97808,-77.02858,-5,1,"38.97808, -77.02858"
1656825,101838375,East Sandwich,MA,2537,,,2537,East Sandwich,MA,41.733837,-70.43754,-5,1,"41.733837, -70.43754"
1676489,101826201,Washington,DC,20016,,,20016,Washington,DC,38.94081,-77.08723,-5,1,"38.94081, -77.08723"
2135094,102292018,San Antonio,TX,78210,,,78210,San Antonio,TX,29.397934,-98.46669,-6,1,"29.397934, -98.46669"
2248057,100885377,Omaha,NE,68127,,,68127,Omaha,NE,41.203029,-96.05009,-6,1,"41.203029, -96.05009"
2233418,101827068,Surprise,AZ,85379,,,85379,Surprise,AZ,33.616888,-112.40158,-7,0,"33.616888, -112.40158"
1644605,101829450,Broomfield,CO,80020,,,80020,Broomfield,CO,39.93404,-105.05454,-7,1,"39.93404, -105.05454"
1664969,100656163,San Antonio,TX,78209,,,78209,San Antonio,TX,29.48618,-98.4568,-6,1,"29.48618, -98.4568"
620770,100627283,Pompano Beach,FL,33076,,,33076,Pompano Beach,FL,26.30116,-80.2731,-5,1,"26.30116, -80.2731"
918073,100924586,Phoenix,MD,21131,,,21131,Phoenix,MD,39.504706,-76.57112,-5,1,"39.504706, -76.57112"
1276743,100718950,New Jersey,NJ,,,,,,,,,,,
1657060,100697560,Lyndhurst,NJ,7071,,,7071,Lyndhurst,NJ,40.808416,-74.12111,-5,1,"40.808416, -74.12111"
1668355,101845009,Fort Gratiot,MI,48059,,,48059,Fort Gratiot,MI,43.088742,-82.48614,-5,1,"43.088742, -82.48614"
2174356,101827568,Clearwater,FL,33759,,,33759,Clearwater,FL,27.980297,-82.71645,-5,1,"27.980297, -82.71645"
2215428,101519229,Tamarac,FL,33319,,,33319,Fort Lauderdale,FL,26.183628,-80.22122,-5,1,"26.183628, -80.22122"
